X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,magnitude
0.05050505,0.04040404,-0.00042559952,0.00022909977,-0.35045487,-4.480691,-2.2127259,0.00048334422
0.05050505,0.08080808,-0.0004026927,0.0002184324,-1.4931501,-4.991971,-3.304493,0.0004581202
0.05050505,0.121212125,-0.0003879927,0.00020774826,-2.7595053,-5.5730734,-4.2868533,0.000440111
0.05050505,0.16161616,-0.0003810078,0.00019691885,-4.1463046,-6.224662,-5.1592226,0.00042888688
0.05050505,0.2020202,-0.00038133934,0.00018593669,-5.6464906,-6.9445252,-5.9216843,0.0004242548
0.05050505,0.24242425,-0.00038848817,0.00017471053,-7.2530704,-7.7306023,-6.575208,0.00042596576
0.05050505,0.28282827,-0.0004019551,0.00016321614,-8.955698,-8.579028,-7.121359,0.00043382877
0.05050505,0.32323232,-0.0004212968,0.00015143678,-10.743467,-9.484484,-7.562795,0.0004476875
0.05050505,0.36363637,-0.0004460439,0.00013926066,-12.602979,-10.440135,-7.9027348,0.00046727798
0.05050505,0.4040404,-0.00047601014,0.00012673996,-14.5194,-11.438063,-8.145389,0.0004925938
0.05050505,0.44444445,-0.00051056966,0.000113762915,-16.477583,-12.469131,-8.295577,0.00052309025
0.05050505,0.4848485,-0.0005493425,0.0001002308,-18.459578,-13.522271,-8.359053,0.00055841147
0.05050505,0.5252525,-0.0005921833,8.622743e-05,-20.447214,-14.58511,-8.342347,0.0005984282
0.05050505,0.56565654,-0.0006385781,7.161684e-05,-22.42219,-15.644603,-8.2522545,0.0006425815
0.05050505,0.6060606,-0.0006882921,5.6590885e-05,-24.364258,-16.685684,-8.096509,0.0006906146
0.05050505,0.64646465,-0.0007411465,4.10676e-05,-26.255566,-17.694138,-7.882974,0.0007422834
0.05050505,0.68686867,-0.00079670176,2.5041401e-05,-28.0753,-18.65248,-7.62025,0.0007970952
0.05050505,0.72727275,-0.00085482,8.692965e-06,-29.80538,-19.544645,-7.316988,0.0008548642
0.05050505,0.7676768,-0.00091538206,-8.117408e-06,-31.427849,-20.353682,-6.9820595,0.00091541803
0.05050505,0.8080808,-0.0009780712,-2.5104731e-05,-32.924667,-21.061817,-6.6246567,0.0009783934
0.05050505,0.8484849,-0.0010428093,-4.217215e-05,-34.281116,-21.652586,-6.2532744,0.0010436617
0.05050505,0.8888889,-0.0011093505,-5.9131533e-05,-35.482033,-22.108585,-5.877099,0.0011109252
0.05050505,0.9292929,-0.0011776797,-7.586554e-05,-36.515785,-22.414448,-5.5042,0.0011801209
0.05050505,0.969697,-0.0012475364,-9.225495e-05,-37.372154,-22.554976,-5.142632,0.0012509428
0.05050505,1.010101,-0.0013188832,-0.00010787882,-38.043262,-22.516481,-4.799713,0.0013232878
0.05050505,1.050505,-0.0013915226,-0.0001225397,-38.523335,-22.286161,-4.4826164,0.0013969077
0.05050505,1.0909091,-0.0014653355,-0.00013607368,-38.809494,-21.853361,-4.1971292,0.00147164
0.05050505,1.1313131,-0.0015401803,-0.00014809147,-38.901505,-21.209517,-3.9487443,0.0015472836
0.05050505,1.1717172,-0.0016158894,-0.00015825406,-38.80198,-20.347538,-3.7418106,0.0016236203
0.05050505,1.2121212,-0.0016922578,-0.00016619265,-38.51606,-19.263018,-3.579747,0.0017003989
0.05050505,1.2525252,-0.0017691851,-0.00017165393,-38.05105,-17.953323,-3.465455,0.0017774929
0.05050505,1.2929293,-0.0018463396,-0.00017414056,-37.417007,-16.418774,-3.4002829,0.0018545336
0.05050505,1.3333334,-0.0019235238,-0.00017339364,-36.626354,-14.661783,-3.3851767,0.0019313232
0.05050505,1.3737373,-0.0020004846,-0.00016896799,-35.693604,-12.687469,-3.419771,0.0020076078
0.05050505,1.4141414,-0.0020768456,-0.00016045943,-34.63435,-10.50268,-3.5030632,0.002083035
0.05050505,1.4545455,-0.0021522827,-0.0001475215,-33.46652,-8.116913,-3.63341,0.0021573326
0.05050505,1.4949495,-0.0022264495,-0.00012978539,-32.209084,-5.5424685,-3.8077695,0.002230229
0.05050505,1.5353535,-0.002298925,-0.00010693818,-30.880552,-2.792162,-4.023324,0.002301411
0.05050505,1.5757576,-0.0023692735,-7.851049e-05,-29.502037,0.11803338,-4.2759366,0.002370574
0.05050505,1.6161616,-0.0024370812,-4.4252723e-05,-28.093096,3.1710474,-4.561641,0.0024374828
0.05050505,1.6565657,-0.002501674,-3.857538e-06,-26.674019,6.348338,-4.875417,0.002501677
0.05050505,1.6969697,-0.0025628097,4.303828e-05,-25.26315,9.630977,-5.212945,0.002563171
0.05050505,1.7373737,-0.002619721,9.6531585e-05,-23.879597,12.997816,-5.568939,0.002621499
0.05050505,1.7777778,-0.0026719496,0.00015698001,-22.540258,16.428019,-5.9384174,0.002676557
0.05050505,1.8181819,-0.0027189255,0.00022447295,-21.261206,19.900063,-6.3164334,0.0027281758
0.05050505,1.8585858,-0.0027600564,0.00029921718,-20.056093,23.392645,-6.6982017,0.002776228
0.05050505,1.8989899,-0.0027946383,0.00038130395,-18.937244,26.884068,-7.0792,0.0028205311
0.05050505,1.939394,-0.0028222762,0.00047085062,-17.914604,30.353579,-7.4551063,0.0028612835
0.05050505,1.979798,-0.0028423406,0.0005678367,-16.996515,33.78039,-7.8221855,0.0028985064
0.05050505,2.020202,-0.0028542317,0.0006721169,-16.189497,37.14482,-8.17675,0.0029322994
0.05050505,2.060606,-0.0028574467,0.0007838644,-15.496844,40.42804,-8.51582,0.0029630128
0.05050505,2.10101,-0.0028514378,0.0009028651,-14.920499,43.61256,-8.836815,0.0029909634
0.05050505,2.1414142,-0.0028356388,0.0010289773,-14.460573,46.681652,-9.137432,0.0030165613
0.05050505,2.1818182,-0.0028096028,0.0011620037,-14.115275,49.619682,-9.416015,0.0030404145
0.05050505,2.2222223,-0.002772916,0.0013018083,-13.8807535,52.41314,-9.671239,0.0030632939
